tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,text,tweet_created,user_timezone
5.67716403117957E+017,negative,1,Bad Flight,1,United,tcfitz3,"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE",2015-02-17 08:05:12 -0800,Central Time (US & Canada)
5.6771741536709E+017,negative,1,Late Flight,0.6947,Southwest,PorterHaney,@SouthwestAir the last 4 times I've arrived @LASairport our gate has been blocked by a slow to depart plane leading to 30-60 min delays,2015-02-17 08:09:14 -0800,Pacific Time (US & Canada)
5.67717552290136E+017,negative,1,Can't Tell,0.3587,United,OHaraAmber,@united what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business #EmployeeRelations,2015-02-17 08:09:46 -0800,
5.67717985092395E+017,neutral,0.9633,,0,Southwest,RachFee,@southwestair - kind of early but any idea when dates through the first week of sept will come available?,2015-02-17 08:11:29 -0800,Central Time (US & Canada)
5.67718099794006E+017,negative,1,Bad Flight,0.337,US Airways,Jack_Kairys,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad,2015-02-17 08:11:57 -0800,
5.67718292530688E+017,neutral,1,,,Delta,Karimilrodz,@JetBlue I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?,2015-02-17 08:12:43 -0800,
5.67718653735731E+017,negative,1,Customer Service Issue,1,Southwest,MyMissus,@SouthwestAir Guys for real. I've been on hold for 4+ hours including one hangup. Please have someone reach out so I can get my $ back.,2015-02-17 08:14:09 -0800,Eastern Time (US & Canada)
5.67719005713334E+017,negative,1,Bad Flight,0.3476,US Airways,Champa24,@USAirways great job today In ruining 45 people's vacation. Thanks to your incompetent pilot and staff we have all now missed our flights,2015-02-17 08:15:33 -0800,
5.67719031634158E+017,negative,1,Customer Service Issue,0.6438,Southwest,mrs_laurelanne,@SouthwestAir can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.,2015-02-17 08:15:39 -0800,
5.67719199850496E+017,negative,0.6404,Late Flight,0.6404,Southwest,DaxJeter,@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?,2015-02-17 08:16:19 -0800,
5.67719957686137E+017,negative,0.7201,Customer Service Issue,0.7201,Delta,Darshan7Patel,@JetBlue please provide me your direct email for me to explain.,2015-02-17 08:19:20 -0800,
5.6772008286095E+017,negative,1,Flight Booking Problems,1,Southwest,portugrad,@SouthwestAir tried to rebook online but it says that I have to pay $200 for difference in price. Please help,2015-02-17 08:19:50 -0800,Central Time (US & Canada)
5.67720839408534E+017,positive,1,,,Southwest,RachFee,"@SouthwestAir Beautiful, thanks a ton!",2015-02-17 08:22:50 -0800,Central Time (US & Canada)
5.67721299162968E+017,negative,1,Customer Service Issue,0.6674,Southwest,kristaallison28,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!,2015-02-17 08:24:40 -0800,
5.67721738155622E+017,neutral,1,,,Southwest,momof43s,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri,2015-02-17 08:26:24 -0800,Eastern Time (US & Canada)
5.67721764285727E+017,neutral,1,,,Southwest,matthewhyah,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None,2015-02-17 08:26:31 -0800,
5.67721806040031E+017,negative,1,Cancelled Flight,0.6511,US Airways,DaFuente,"@USAirways I’ve had my flight Cancelled Flightled twice now, and after 5 minutes of automated questions, the phone just goes to a busy signal. Help?",2015-02-17 08:26:40 -0800,Eastern Time (US & Canada)
5.67721945954009E+017,negative,1,Cancelled Flight,0.6774,US Airways,LucyALloyd,. @USAirways It's been Cancelled Flighted. Your SM response is slow.,2015-02-17 08:27:14 -0800,Central Time (US & Canada)
5.67722294680642E+017,negative,0.6492,Cancelled Flight,0.6492,Southwest,challemann,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?,2015-02-17 08:28:37 -0800,Eastern Time (US & Canada)
5.67722301471199E+017,negative,1,Customer Service Issue,1,US Airways,CharNewsJunkie,"@USAirways Almost 4 hours and coin now. Understand higher call volume, but this is unacceptable.",2015-02-17 08:28:39 -0800,Eastern Time (US & Canada)
5.67722664597287E+017,negative,1,Customer Service Issue,1,Southwest,misskennedys,@SouthwestAir has the WORST customer service of any airline I've ever flown.,2015-02-17 08:30:05 -0800,Central Time (US & Canada)
5.67722689989579E+017,neutral,1,,,Southwest,dontbhave,@SouthwestAir Where should I fly by May 3rd? Plz advise.,2015-02-17 08:30:11 -0800,Mountain Time (US & Canada)
5.67722844319404E+017,neutral,0.642,,0,Southwest,scottglass70,@SouthwestAir trying to get through to cust relations. Is there another # to use?,2015-02-17 08:30:48 -0800,
5.67722937545814E+017,positive,0.6834,,,Southwest,christooma,@SouthwestAir finally!,2015-02-17 08:31:10 -0800,Central Time (US & Canada)
5.67723096186946E+017,positive,1,,,Southwest,spstpierre,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!,2015-02-17 08:31:48 -0800,Mountain Time (US & Canada)
5.67723431513575E+017,negative,1,Customer Service Issue,0.6509,Southwest,faithfabulous,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.,2015-02-17 08:33:08 -0800,Quito
5.67723534344933E+017,negative,1,Late Flight,1,Southwest,deantak,@SouthwestAir discount for three delays?,2015-02-17 08:33:33 -0800,Pacific Time (US & Canada)
5.67724091809878E+017,negative,1,Customer Service Issue,0.6701,United,TheSapphireLife,@united THRILLED to have my carry-on checked against my will by two nasty gate agents only to see an entire empty bin when I boarded last...,2015-02-17 08:35:45 -0800,
5.67724133434536E+017,negative,0.6907,Customer Service Issue,0.6907,US Airways,DAngel082,@USAirways can't even get on hold to wait to speak to someone-awesome,2015-02-17 08:35:55 -0800,
5.67724178317402E+017,positive,0.6429,,,Delta,JetBlueNews,@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx,2015-02-17 08:36:06 -0800,Sydney
5.67724189872697E+017,negative,0.6579,Customer Service Issue,0.3344,United,mtezna,@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD),2015-02-17 08:36:09 -0800,Eastern Time (US & Canada)
5.67724266045837E+017,negative,1,Customer Service Issue,1,Southwest,GameDaySweetie,"@SouthwestAir almost 2 hours on hold, 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS",2015-02-17 08:36:27 -0800,
5.67724943375626E+017,neutral,0.6383,,0,US Airways,TullamoreEims,@USAirways You need to contact me ASAP. #Furious,2015-02-17 08:39:08 -0800,Dublin
5.67724948375212E+017,negative,1,Flight Booking Problems,1,Southwest,jjenreich,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED",2015-02-17 08:39:10 -0800,Central Time (US & Canada)
5.67725125194494E+017,negative,0.667,Can't Tell,0.3533,US Airways,Jack_Kairys,@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on,2015-02-17 08:39:52 -0800,
5.67725163077071E+017,negative,0.6496,Bad Flight,0.3416,United,BhutanOrient,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,2015-02-17 08:40:01 -0800,Pacific Time (US & Canada)
5.67725170367148E+017,negative,1,Lost Luggage,1,US Airways,juliadavis,"Yes, I filed a report in Atlanta. My bags are in Charlotte, NC. 24 hours Late Flightr and still can't find my luggage ... @USAirways",2015-02-17 08:40:03 -0800,Eastern Time (US & Canada)
5.67725232203391E+017,positive,0.703,,0,Southwest,tonyapoe,@SouthwestAir  Thank you.,2015-02-17 08:40:17 -0800,Mountain Time (US & Canada)
5.67725304958161E+017,negative,1,Customer Service Issue,1,US Airways,jameypricephoto,@USAirways it takes a month?,2015-02-17 08:40:35 -0800,Eastern Time (US & Canada)
5.67725387904721E+017,positive,0.6664,,,US Airways,Forsyth_Factor,"@USAirways thanks for the reply, hoping everything is cleared up in Charlotte by Monday",2015-02-17 08:40:54 -0800,Indiana (East)
5.67725588937728E+017,negative,1,Bad Flight,0.6201,US Airways,TheTaxDiva,@USAirways @AmericanAir you make Spirit look like the gem of air travel. You haven't handle this winter storm very well...,2015-02-17 08:41:42 -0800,Central Time (US & Canada)
5.67725676958999E+017,neutral,1,,,Delta,gigirey1,@JetBlue what's the link for #FlyFi,2015-02-17 08:42:03 -0800,
5.67725820056068E+017,negative,1,Can't Tell,1,United,kat_volk,.@united nothing apparently. I've flown w/ you 4 times in last 3 weeks and 3 of those experiences (incl today) were clusterfucks.,2015-02-17 08:42:37 -0800,Arizona
5.67726092518031E+017,neutral,1,,,Virgin America,PlayjtLV,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,2015-02-17 08:43:42 -0800,
5.67726138223772E+017,negative,1,Customer Service Issue,0.6577,US Airways,crshipferling,@USAirways your chairmans phone is down. what other number can i use?,2015-02-17 08:43:53 -0800,
5.67726186038837E+017,negative,1,Late Flight,0.6787,US Airways,JasonPlizga,@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.,2015-02-17 08:44:05 -0800,
5.67726594698265E+017,negative,1,Late Flight,1,US Airways,DAngel082,@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right,2015-02-17 08:45:42 -0800,
5.67726860638102E+017,negative,1,Customer Service Issue,1,United,mlipschits,@united why am i mot getting my refund?,2015-02-17 08:46:46 -0800,
5.67726912186118E+017,neutral,0.67,,0,Delta,heyheyman,@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?,2015-02-17 08:46:58 -0800,Eastern Time (US & Canada)
5.67726949049455E+017,negative,1,Bad Flight,1,Southwest,mal0877,"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago.",2015-02-17 08:47:07 -0800,
5.67727026313101E+017,negative,1,Cancelled Flight,0.6838,Southwest,RichieGlod,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?,2015-02-17 08:47:25 -0800,
5.67727159096386E+017,positive,0.6729,,,US Airways,DAngel082,@USAirways  thanks I hope I get to my destination,2015-02-17 08:47:57 -0800,
5.67727292739092E+017,positive,1,,,Virgin America,BBahreman,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,2015-02-17 08:48:29 -0800,Pacific Time (US & Canada)
5.67727329783583E+017,positive,1,,,Delta,JessonaJourney,@JetBlue Thank you!,2015-02-17 08:48:37 -0800,Eastern Time (US & Canada)
5.67727403964056E+017,negative,0.7109,Can't Tell,0.3609,United,richardkerris,"@united Bad coffee, but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO",2015-02-17 08:48:55 -0800,
5.67727479633478E+017,positive,1,,,US Airways,northerninsgr,@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge,2015-02-17 08:49:13 -0800,
5.67727490567639E+017,neutral,1,,,Delta,kbosspotter,"@JetBlue I have a internal bleed in my foot, and I am flying next Tuesday, what should I. Do :( these. Leeds come randomly. I",2015-02-17 08:49:16 -0800,Atlantic Time (Canada)
5.67727499367682E+017,neutral,1,,,Southwest,city2countryTN,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?,2015-02-17 08:49:18 -0800,
5.67727526777074E+017,positive,1,,,Delta,gigirey1,@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?,2015-02-17 08:49:24 -0800,
5.67727581873848E+017,negative,1,Cancelled Flight,1,US Airways,laura_crom,@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1),2015-02-17 08:49:38 -0800,Quito
5.67727599627944E+017,negative,1,Late Flight,1,United,alvintylaw,@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!,2015-02-17 08:49:42 -0800,
5.67727701620822E+017,neutral,0.66,,,Delta,BritishAirNews,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/w8MTmSP2RY,2015-02-17 08:50:06 -0800,Sydney
5.67727883993358E+017,negative,1,Customer Service Issue,1,Delta,MakebaMakeba,@JetBlue oh hell no. I'm not waiting again to get hung up on after speaking to 2 #rudeservice people,2015-02-17 08:50:50 -0800,
5.67728017196458E+017,neutral,0.6379,,0,US Airways,laura_crom,"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)",2015-02-17 08:51:21 -0800,Quito
5.67728057700876E+017,negative,1,longlines,0.6989,US Airways,Champa24,@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.,2015-02-17 08:51:31 -0800,
5.67728114588209E+017,neutral,1,,,Southwest,jcfly123,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?,2015-02-17 08:51:45 -0800,Mountain Time (US & Canada)
5.6772822746531E+017,neutral,0.6376,,0,Virgin America,Todd1HHD,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap,2015-02-17 08:52:11 -0800,Central Time (US & Canada)
5.67728229340172E+017,negative,0.648,Flight Attendant Complaints,0.3416,Southwest,SkySmiles737,@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500,2015-02-17 08:52:12 -0800,
5.67728285174743E+017,negative,1,Customer Service Issue,0.3596,US Airways,TheTaxDiva,@USAirways I did and it's been a disaster. You had me sitting on the runway only to bring the plane back to the gate smh,2015-02-17 08:52:25 -0800,Central Time (US & Canada)
5.67728357555438E+017,neutral,0.6895,,0,Delta,kbosspotter,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance",2015-02-17 08:52:42 -0800,Atlantic Time (Canada)
5.67728386014183E+017,negative,1,Lost Luggage,1,US Airways,TheTaxDiva,@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are.,2015-02-17 08:52:49 -0800,Central Time (US & Canada)
5.6772848162336E+017,negative,1,Customer Service Issue,1,US Airways,TheTaxDiva,@USAirways I expect something more than telling me to see an agent to rebook my flight...,2015-02-17 08:53:12 -0800,Central Time (US & Canada)
5.67728533771133E+017,negative,1,Customer Service Issue,1,US Airways,TheTaxDiva,@USAirways your customer service is horrible,2015-02-17 08:53:24 -0800,Central Time (US & Canada)
5.67728679426327E+017,negative,1,Cancelled Flight,0.6704,Southwest,onestitchshort,"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?",2015-02-17 08:53:59 -0800,Central Time (US & Canada)
5.67728698900488E+017,neutral,1,,,Southwest,deantak,@SouthwestAir sent,2015-02-17 08:54:04 -0800,Pacific Time (US & Canada)
5.6772880086401E+017,negative,1,Customer Service Issue,1,Delta,MakebaMakeba,@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether,2015-02-17 08:54:28 -0800,
5.67728860629058E+017,negative,0.6515,Late Flight,0.6515,US Airways,laura_crom,@USAirways and it still says it's on time on your website btw,2015-02-17 08:54:42 -0800,Quito
5.67728890206904E+017,negative,1,Flight Booking Problems,0.6611,US Airways,AlexRolek,@USAirways been trying to talk with a dividend miles rep for 2 days now. I have been holding for over 2 hours each day. What are my options?,2015-02-17 08:54:49 -0800,
5.67729135733465E+017,negative,1,Customer Service Issue,0.6275,US Airways,itsjustdoc,@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!,2015-02-17 08:55:48 -0800,Quito
5.67729203894702E+017,negative,1,Customer Service Issue,1,Southwest,matthewhyah,"@SouthwestAir I've been on hold for an hour now. 59:57 as I type this. Ridiculous! All I need is the link to the chart that has routes, time",2015-02-17 08:56:04 -0800,
5.6772924131249E+017,positive,0.6939,,,US Airways,imayfan,@USAirways thanks,2015-02-17 08:56:13 -0800,Eastern Time (US & Canada)
5.67729246198837E+017,neutral,0.6702,,,United,CWWMUK,@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15,2015-02-17 08:56:14 -0800,
5.67729325810917E+017,negative,1,Cancelled Flight,0.6959,US Airways,LucyALloyd,@USAirways No kidding. Oy.,2015-02-17 08:56:33 -0800,Central Time (US & Canada)
5.67729368110096E+017,negative,1,Customer Service Issue,1,Delta,MakebaMakeba,@JetBlue my request has nothing to do with rescheduling. But customer service has such a bad attitude today. #badservice,2015-02-17 08:56:43 -0800,
5.67729414822449E+017,negative,1,Lost Luggage,1,US Airways,itsjustdoc,@USAirways no warm weather hubs means no Mexico for us.  And I can't go anywhere else since you lost my bags. I hope you attempt to rectify,2015-02-17 08:56:55 -0800,Quito
5.67729416231322E+017,negative,1,Customer Service Issue,1,Southwest,laurenaddell,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,2015-02-17 08:56:55 -0800,Eastern Time (US & Canada)
5.67729658276237E+017,negative,1,Customer Service Issue,1,US Airways,Jamayka,@USAirways tried twice today on hold for 30 min each time. i have things to do so can't live on hold dealing w/ your customer serv failures,2015-02-17 08:57:53 -0800,Central Time (US & Canada)
5.67729696662512E+017,positive,1,,,United,mchooyah,@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.,2015-02-17 08:58:02 -0800,Mazatlan
5.67729700110602E+017,negative,1,Customer Service Issue,0.6889,US Airways,portugrad,@USAirways Thanks for the info but have been trying for over 24hrs and no luck. Flight dep. Today. Need 2 change 2 tomorrow or Thursday,2015-02-17 08:58:03 -0800,Central Time (US & Canada)
5.67729749087498E+017,negative,1,Lost Luggage,1,US Airways,itsjustdoc,@USAirways I didn't even leave the airport and you sent 2 of my bags to Philadelphia!,2015-02-17 08:58:14 -0800,Quito
